         9074922 function calls (8816296 primitive calls) in 29.982 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     4806    0.017    0.000    0.017    0.000 {method 'unsqueeze' of 'torch._C.TensorBase' objects}
     1674    0.017    0.000    0.066    0.000 controlflow.py:395(_eliminate_dead_blocks)
     6416    0.016    0.000    0.257    0.000 base.py:1246(exit_fn)
     6237    0.016    0.000    0.058    0.000 pyiutilities.py:71(deleteDataHandle)
     1344    0.016    0.000    0.509    0.000 copy.py:227(_deepcopy_dict)
      338    0.016    0.000    0.650    0.002 cpu.py:60(load_additional_registries)
     6416    0.016    0.000    0.211    0.000 base.py:1243(enter_fn)
     1692    0.016    0.000    0.016    0.000 {method 'zero_' of 'torch._C.TensorBase' objects}
     1422    0.016    0.000    0.016    0.000 {method 'copy_' of 'torch._C.TensorBase' objects}
      374    0.015    0.000    0.015    0.000 {method 'pow' of 'torch._C.TensorBase' objects}
  262/236    0.015    0.000    2.668    0.011 functions.py:281(get_call_type)
       80    0.015    0.000    0.286    0.004 test_gradients.py:69(test_adjointness)
      771    0.015    0.000    0.027    0.000 functools.py:35(update_wrapper)
      722    0.015    0.000    0.037    0.000 controlflow.py:578(_find_back_edges)
     1794    0.015    0.000    0.062    0.000 ansitowin32.py:73(__init__)
     3368    0.015    0.000    0.061    0.000 weakref.py:415(__getitem__)
     1662    0.015    0.000    0.031    0.000 instructions.py:681(descr)
4724/4220    0.014    0.000    0.062    0.000 contextlib.py:139(__exit__)
    10859    0.014    0.000    0.014    0.000 controlflow.py:125(predecessors)
2718/2610    0.014    0.000    0.127    0.000 abstract.py:61(__call__)
       70    0.014    0.000   14.076    0.201 test_gradients.py:83(test_fwd_bwd_time)
      897    0.014    0.000    0.110    0.000 errors.py:301(_markup)
    11832    0.014    0.000    0.014    0.000 {method 'keys' of 'dict' objects}
      368    0.013    0.000    0.023    0.000 analysis.py:91(liveness)
  355/127    0.013    0.000    0.694    0.005 parfor.py:3921(parfor_defs)
    11185    0.013    0.000    0.013    0.000 {method 'rstrip' of 'str' objects}
      460    0.013    0.000    0.438    0.001 Gradients.py:150(<listcomp>)
  643/380    0.013    0.000    2.674    0.007 lowering.py:457(lower_inst)
